net,length_um
cfg_tx_size_o[7],61.46µm
_0375_,61.09µm
_0502_,61.09µm
cfg_addr_i[4],60.95µm
_0576_,60.68µm
u_dc_fifo_tx.u_dout.read_token\[2\],60.63µm
net148,60.48µm
clknet_5_2__leaf_sys_clk_i,60.07µm
net211,60.02µm
u_dc_fifo_rx.u_din.write_token\[2\],60.02µm
clknet_5_20__leaf_periph_clk_i,60.02µm
cfg_tx_size_o[0],59.83µm
cfg_rx_startaddr_o[5],59.78µm
cfg_tx_size_o[1],59.78µm
_0294_,59.36µm
_0343_,59.36µm
cfg_data_i[5],59.22µm
_0448_,58.9µm
u_fifo.i_fifo.elements\[1\],58.9µm
net109,58.85µm
_0650_,58.8µm
net235,58.8µm
net187,58.34µm
net209,58.24µm
cfg_data_i[1],58.1µm
u_dc_fifo_tx.u_dout.read_token\[3\],57.88µm
net289,56.71µm
cfg_rx_size_o[0],56.42µm
cfg_tx_startaddr_o[9],56.42µm
_0327_,56.15µm
clknet_5_23__leaf_sys_clk_i,56.15µm
_0822_,56.05µm
cfg_tx_size_o[15],55.86µm
u_dc_fifo_rx.u_dout.read_token\[0\],55.64µm
clknet_5_27__leaf_periph_clk_i,55.49µm
net145,55.44µm
cfg_rwn_i,55.3µm
net275,55.03µm
_0694_,54.93µm
s_uart_div\[0\],54.42µm
_0350_,54.37µm
_0680_,54.32µm
_0804_,54.32µm
_0186_,53.81µm
_0370_,53.76µm
net125,53.76µm
cfg_rx_size_o[2],53.62µm
cfg_rx_startaddr_o[3],53.62µm
_0668_,53.3µm
net7,53.3µm
cfg_tx_en_i,53.215µm
cfg_tx_startaddr_o[6],53.06µm
_0796_,52.74µm
_0714_,52.69µm
net8,52.69µm
net193,52.69µm
_0677_,52.64µm
net10,52.64µm
s_uart_div\[5\],52.64µm
cfg_data_i[12],52.5µm
_0383_,52.08µm
_0852_,51.62µm
_0701_,51.57µm
u_fifo.i_fifo.pointer_out\[0\],51.57µm
net253,51.57µm
net82,51.52µm
net147,51.01µm
u_dc_fifo_tx.u_din.buffer.data\[23\],51.01µm
cfg_data_i[2],50.87µm
cfg_tx_size_o[12],50.82µm
_0622_,49.89µm
_0517_,49.84µm
cfg_tx_startaddr_o[3],49.7µm
u_reg_if.r_uart_rx_data\[6\],49.43µm
_0332_,49.38µm
u_uart_rx.baud_cnt\[2\],49.38µm
_0306_,49.33µm
clknet_5_30__leaf_periph_clk_i,49.33µm
cfg_rx_curr_addr_i[4],49.295µm
u_uart_tx.baud_cnt\[9\],48.87µm
r_uart_stop_bits,48.82µm
s_uart_div\[15\],48.77µm
_0184_,48.72µm
net49,48.72µm
_0844_,48.26µm
s_uart_div\[12\],48.21µm
u_dc_fifo_tx.u_din.buffer.data\[21\],48.21µm
u_reg_if.r_uart_rx_data\[3\],48.21µm
_0452_,47.7µm
net35,47.7µm
net174,47.7µm
_0372_,47.65µm
_0700_,47.65µm
_0812_,47.65µm
net43,47.65µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[3\],47.65µm
cfg_tx_curr_addr_i[4],47.615µm
_0215_,47.6µm
_0358_,47.6µm
cfg_tx_startaddr_o[4],47.51µm
cfg_rx_size_o[12],47.46µm
net156,47.14µm
s_uart_div\[10\],47.09µm
cfg_rx_curr_addr_i[5],47.055µm
_0292_,46.63µm
cfg_rx_bytes_left_i[6],46.495µm
_0823_,46.48µm
net74,46.48µm
u_uart_rx.reg_bit_count\[2\],46.02µm
_0334_,45.97µm
u_dc_fifo_tx.u_din.full.full_synch.d_in\[0\],45.97µm
clknet_5_6__leaf_periph_clk_i,45.97µm
s_uart_div\[1\],45.51µm
r_status_sync\[2\],45.41µm
u_uart_tx.baud_cnt\[7\],45.41µm
cfg_tx_size_o[5],45.22µm
u_dc_fifo_tx.u_din.buffer.data\[25\],44.9µm
u_dc_fifo_tx.u_dout.read_token\[0\],44.9µm
_0319_,44.85µm
_0838_,44.8µm
_0634_,44.34µm
cfg_rx_pending_i,44.305µm
cfg_tx_bytes_left_i[4],44.305µm
cfg_data_o[5],44.305µm
u_dc_fifo_tx.u_din.buffer.data\[5\],44.29µm
cfg_rx_bytes_left_i[0],44.255µm
cfg_rx_bytes_left_i[2],44.255µm
cfg_rx_bytes_left_i[5],44.255µm
cfg_rx_curr_addr_i[7],44.255µm
cfg_tx_bytes_left_i[7],44.255µm
_0764_,44.24µm
net77,44.24µm
net217,43.83µm
net107,43.78µm
net133,43.68µm
_0307_,43.22µm
u_dc_fifo_rx.u_dout.empty_synch.d_out\[2\],43.22µm
u_uart_tx.baud_cnt\[10\],43.22µm
clknet_5_15__leaf_periph_clk_i,43.22µm
_0182_,43.17µm
u_dc_fifo_tx.u_din.buffer.data\[26\],43.17µm
cfg_data_o[4],43.135µm
cfg_rx_bytes_left_i[9],42.98µm
_0661_,42.71µm
_0742_,42.71µm
r_uart_en_rx_sync\[1\],42.66µm
cfg_data_i[29],42.625µm
net182,42.61µm
cfg_rx_bytes_left_i[4],42.575µm
cfg_tx_bytes_left_i[0],42.575µm
cfg_tx_curr_addr_i[5],42.575µm
cfg_tx_curr_addr_i[6],42.575µm
data_rx_o[5],42.575µm
_0684_,42.2µm
s_uart_div\[2\],42.15µm
net219,42.05µm
u_dc_fifo_rx.u_din.buffer.data\[0\],42.05µm
u_dc_fifo_tx.u_din.buffer.data\[17\],42.05µm
cfg_rx_bytes_left_i[1],42.015µm
cfg_tx_pending_i,42.015µm
_0179_,42µm
net39,42µm
net108,42µm
cfg_addr_i[1],41.86µm
cfg_addr_i[2],41.86µm
_0541_,41.54µm
_0671_,41.54µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[2\],41.54µm
net160,41.49µm
cfg_tx_bytes_left_i[5],41.455µm
cfg_data_o[26],41.455µm
net55,41.44µm
cfg_rx_clr_o,41.3µm
_0561_,40.98µm
_0453_,40.93µm
cfg_rx_curr_addr_i[6],40.895µm
cfg_rx_en_i,40.895µm
net42,40.88µm
cfg_data_i[4],40.74µm
_0716_,40.52µm
u_uart_rx.baud_cnt\[12\],40.52µm
_0356_,40.42µm
_0379_,40.37µm
s_uart_div\[8\],40.37µm
u_uart_rx.reg_bit_count\[1\],40.37µm
cfg_tx_curr_addr_i[1],40.335µm
_0454_,40.32µm
_0315_,39.86µm
_0384_,39.86µm
_0441_,39.86µm
r_uart_en_rx_sync\[2\],39.86µm
cfg_rx_curr_addr_i[1],39.825µm
cfg_data_o[17],39.825µm
_0777_,39.81µm
u_uart_tx.baud_cnt\[11\],39.81µm
cfg_data_i[17],39.775µm
cfg_data_i[22],39.775µm
cfg_data_o[27],39.775µm
_0191_,39.76µm
clknet_4_10_0_sys_clk_i,39.76µm
clknet_4_6_0_periph_clk_i,39.76µm
cfg_valid_i,39.06µm
_0387_,38.69µm
cfg_data_i[16],38.655µm
cfg_rx_curr_addr_i[2],38.655µm
cfg_tx_bytes_left_i[3],38.655µm
cfg_tx_bytes_left_i[6],38.655µm
cfg_tx_curr_addr_i[2],38.655µm
net100,38.64µm
cfg_data_o[24],38.145µm
net26,38.13µm
uart_rx_i,38.095µm
cfg_data_o[20],38.095µm
net130,38.08µm
_0727_,37.82µm
net172,37.62µm
net201,37.62µm
cfg_data_i[28],37.585µm
_0342_,37.57µm
cfg_data_o[0],37.535µm
_0385_,37.52µm
cfg_tx_clr_o,37.48µm
_0731_,37.16µm
_0533_,37.11µm
_0803_,37.01µm
u_dc_fifo_tx.u_din.buffer.data\[0\],37.01µm
cfg_data_i[30],36.975µm
net196,36.96µm
u_reg_if.r_uart_rx_data_valid,36.96µm
_0311_,36.55µm
u_uart_tx.baud_cnt\[6\],36.55µm
_0854_,36.5µm
cfg_rx_bytes_left_i[12],36.465µm
cfg_tx_curr_addr_i[0],36.465µm
net18,36.45µm
net62,36.45µm
s_uart_div\[9\],36.45µm
cfg_data_o[2],36.415µm
cfg_data_o[30],36.415µm
data_rx_o[4],36.415µm
u_dc_fifo_tx.u_din.buffer.data\[18\],36.4µm
cfg_tx_size_o[2],36.26µm
_0363_,35.99µm
cfg_data_i[20],35.905µm
cfg_data_o[29],35.905µm
_0329_,35.89µm
net175,35.89µm
cfg_data_i[26],35.855µm
cfg_rx_curr_addr_i[11],35.855µm
data_rx_o[2],35.855µm
_0788_,35.48µm
cfg_data_o[6],35.395µm
_0699_,35.38µm
u_dc_fifo_tx.u_din.buffer.data\[1\],35.38µm
u_fifo.r_inflight\[1\],35.38µm
_0190_,35.33µm
cfg_rx_bytes_left_i[14],35.295µm
cfg_rx_bytes_left_i[3],35.295µm
cfg_tx_bytes_left_i[2],35.295µm
cfg_data_o[1],35.295µm
data_rx_o[1],35.295µm
_0378_,35.28µm
cfg_tx_curr_addr_i[7],35.14µm
cfg_data_i[25],34.785µm
_0380_,34.77µm
net135,34.77µm
u_dc_fifo_tx.u_din.buffer.data\[27\],34.77µm
cfg_tx_bytes_left_i[1],34.735µm
cfg_data_o[19],34.735µm
cfg_data_o[22],34.735µm
data_rx_o[6],34.735µm
_0414_,34.72µm
net337,34.58µm
data_rx_ready_i,34.58µm
u_dc_fifo_tx.u_din.buffer.data\[28\],34.26µm
u_fifo.i_fifo.pointer_in\[0\],34.21µm
cfg_data_i[24],34.175µm
cfg_tx_bytes_left_i[13],34.175µm
cfg_data_o[16],34.175µm
_0765_,34.16µm
clknet_4_1_0_sys_clk_i,34.16µm
cfg_rx_bytes_left_i[8],34.07µm
cfg_rx_startaddr_o[4],34.02µm
net180,33.7µm
u_uart_rx.reg_bit_count\[0\],33.65µm
net72,33.6µm
cfg_rx_en_o,33.51µm
net102,33.14µm
cfg_rx_bytes_left_i[15],33.055µm
cfg_rx_curr_addr_i[3],33.055µm
clknet_4_10_0_periph_clk_i,33.04µm
clknet_4_15_0_periph_clk_i,33.04µm
_0688_,32.68µm
net169,32.58µm
u_dc_fifo_rx.u_din.buffer.data\[2\],32.58µm
net140,32.53µm
u_dc_fifo_rx.u_din.buffer.data\[7\],32.53µm
u_dc_fifo_tx.u_din.buffer.data\[22\],32.53µm
u_fifo.i_fifo.buffer\[1\]\[3\],32.53µm
cfg_data_i[18],32.495µm
cfg_data_i[21],32.495µm
data_rx_o[3],32.495µm
_0615_,32.48µm
net45,32.48µm
u_dc_fifo_rx.u_din.buffer.data\[19\],32.48µm
cfg_rx_curr_addr_i[8],32.34µm
u_uart_rx.baud_cnt\[11\],32.12µm
cfg_data_o[28],31.985µm
_0444_,31.97µm
u_dc_fifo_rx.u_din.buffer.data\[29\],31.97µm
cfg_data_o[3],31.935µm
_0404_,31.92µm
_0614_,31.92µm
clknet_4_7_0_periph_clk_i,31.92µm
clknet_5_31__leaf_periph_clk_i,31.92µm
cfg_tx_curr_addr_i[8],31.78µm
cfg_data_i[27],31.425µm
cfg_data_o[25],31.425µm
net22,31.41µm
net23,31.41µm
net46,31.41µm
u_fifo.i_fifo.buffer\[1\]\[7\],31.41µm
u_uart_tx.reg_data\[0\],31.41µm
clknet_4_11_0_periph_clk_i,31.41µm
net138,31.36µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[1\],31.36µm
clknet_4_8_0_periph_clk_i,31.36µm
net343,31.22µm
cfg_rx_size_o[1],31.22µm
_0521_,30.9µm
u_dc_fifo_rx.u_din.buffer.data\[18\],30.9µm
cfg_rx_bytes_left_i[13],30.865µm
clknet_4_0_0_periph_clk_i,30.85µm
cfg_tx_bytes_left_i[12],30.815µm
cfg_data_o[7],30.71µm
data_rx_o[7],30.66µm
_0702_,30.34µm
_0585_,30.29µm
net134,30.29µm
net197,30.29µm
u_dc_fifo_rx.u_din.buffer.data\[9\],30.29µm
u_uart_tx.baud_cnt\[2\],30.29µm
u_uart_tx.reg_data\[7\],30.29µm
cfg_tx_bytes_left_i[10],30.255µm
cfg_tx_curr_addr_i[3],30.255µm
cfg_data_o[21],30.255µm
_0381_,30.24µm
net61,30.24µm
cfg_addr_i[3],30.1µm
_0574_,29.78µm
_0657_,29.78µm
net185,29.78µm
s_uart_div\[13\],29.78µm
u_fifo.i_fifo.buffer\[1\]\[1\],29.73µm
_0405_,29.68µm
net54,29.68µm
r_status_sync\[1\],29.68µm
cfg_tx_curr_addr_i[9],29.54µm
cfg_rx_continuous_o,29.54µm
_0653_,29.5µm
u_uart_tx.reg_bit_count\[0\],29.32µm
net203,29.22µm
u_uart_tx.reg_data\[2\],29.22µm
net47,29.17µm
net66,29.17µm
net91,29.17µm
net204,29.17µm
u_uart_tx.reg_data\[5\],29.17µm
net222,29.17µm
u_dc_fifo_rx.u_din.buffer.data\[10\],29.12µm
u_dc_fifo_rx.u_din.buffer.data\[4\],28.66µm
net132,28.61µm
net153,28.61µm
u_dc_fifo_rx.u_din.full.full_synch.d_out\[0\],28.61µm
cfg_rx_bytes_left_i[10],28.575µm
cfg_tx_bytes_left_i[14],28.575µm
_0068_,28.56µm
i_ep_event.i_sync_clkb.i_pulp_sync.r_reg\[1\],28.1µm
s_uart_div\[14\],28.1µm
_0398_,28.05µm
_0762_,28.05µm
_0807_,28.05µm
u_dc_fifo_tx.u_din.buffer.data\[9\],28.05µm
u_dc_fifo_tx.u_din.full.full_synch.d_out\[0\],28.05µm
clknet_4_1_0_periph_clk_i,28.05µm
_0623_,28µm
net127,28µm
net57,28µm
r_uart_en_tx_sync\[1\],28µm
data_rx_valid_o,27.86µm
_0291_,27.59µm
_0185_,27.49µm
u_uart_tx.baud_cnt\[13\],27.49µm
clknet_4_5_0_periph_clk_i,27.49µm
cfg_tx_bytes_left_i[15],27.455µm
net53,27.44µm
net176,27.44µm
net90,27.44µm
u_dc_fifo_rx.u_din.buffer.data\[6\],27.44µm
clknet_5_11__leaf_periph_clk_i,27.44µm
cfg_rx_curr_addr_i[9],27.3µm
cfg_tx_startaddr_o[2],27.3µm
net161,26.98µm
u_dc_fifo_rx.u_din.buffer.data\[3\],26.98µm
_0219_,26.93µm
_0389_,26.93µm
net116,26.93µm
cfg_rx_curr_addr_i[10],26.895µm
_0649_,26.88µm
_0771_,26.88µm
cfg_rx_bytes_left_i[7],26.74µm
cfg_data_i[31],26.645µm
_0679_,26.52µm
_0180_,26.42µm
_0740_,26.42µm
_0745_,26.42µm
_0399_,26.37µm
_0827_,26.37µm
u_dc_fifo_tx.u_din.buffer.data\[19\],26.37µm
clknet_4_0_0_sys_clk_i,26.37µm
cfg_tx_bytes_left_i[11],26.335µm
_0459_,26.32µm
clknet_4_12_0_sys_clk_i,26.32µm
cfg_tx_bytes_left_i[8],26.18µm
_0720_,26.14µm
_0301_,25.86µm
u_reg_if.r_err_parity,25.86µm
u_uart_tx.baud_cnt\[3\],25.86µm
_0359_,25.81µm
_0529_,25.81µm
_0673_,25.81µm
net51,25.81µm
s_uart_div\[4\],25.81µm
u_reg_if.r_uart_rx_data\[2\],25.76µm
cfg_data_o[31],25.525µm
u_uart_tx.baud_cnt\[5\],25.35µm
u_dc_fifo_tx.u_din.buffer.data\[20\],25.3µm
net246,25.3µm
net152,25.25µm
s_uart_div\[7\],25.25µm
net372,25.25µm
_0775_,25.2µm
i_ep_event.i_sync_clkb.i_pulp_sync.serial_i,25.2µm
net231,25.2µm
clknet_4_9_0_sys_clk_i,25.2µm
_0669_,24.74µm
u_dc_fifo_rx.u_din.buffer.data\[25\],24.74µm
_0257_,24.69µm
net117,24.69µm
net124,24.69µm
