net,length_um
net168,77.28µm
cfg_rx_size_o[5],77.14µm
u_uart_tx.CS\[1\],76.97µm
net191,76.26µm
_0707_,75.75µm
_0353_,75.65µm
cfg_rx_curr_addr_i[1],75.615µm
cfg_tx_curr_addr_i[1],75.615µm
cfg_tx_en_i,75.615µm
cfg_data_i[6],75.46µm
net99,75.24µm
_0494_,75.14µm
u_uart_tx.baud_cnt\[8\],75.14µm
u_uart_tx.baud_cnt\[4\],74.68µm
net366,74.63µm
cfg_tx_bytes_left_i[4],74.595µm
cfg_rx_bytes_left_i[0],74.495µm
cfg_rx_bytes_left_i[6],74.495µm
cfg_addr_i[4],74.34µm
cfg_rx_size_o[7],74.34µm
u_uart_rx.baud_cnt\[13\],74.02µm
u_uart_rx.baud_cnt\[1\],74.02µm
_0413_,73.97µm
u_uart_rx.CS\[2\],73.56µm
clknet_5_29__leaf_periph_clk_i,73.46µm
cfg_rx_bytes_left_i[1],73.375µm
_0369_,73.36µm
net305,72.95µm
clknet_5_25__leaf_periph_clk_i,72.9µm
net435,72.85µm
net454,72.85µm
net377,72.8µm
_0496_,72.39µm
u_uart_rx.baud_cnt\[15\],72.39µm
s_uart_div\[0\],72.34µm
cfg_rx_curr_addr_i[7],72.255µm
s_data_rx_dc\[3\],71.83µm
net144,71.68µm
cfg_data_i[0],71.54µm
cfg_rx_size_o[2],71.54µm
cfg_tx_pending_i,71.185µm
u_dc_fifo_rx.u_din.write_token\[2\],71.17µm
net462,71.17µm
cfg_tx_startaddr_o[2],71.13µm
cfg_tx_startaddr_o[5],70.98µm
cfg_rx_size_o[8],70.98µm
_0721_,70.86µm
u_uart_rx.baud_cnt\[8\],70.76µm
net216,70.66µm
net299,70.66µm
clknet_5_6__leaf_periph_clk_i,70.66µm
cfg_rx_bytes_left_i[5],70.625µm
_0362_,70.61µm
_0375_,70.61µm
_0848_,70.61µm
u_uart_rx.baud_cnt\[7\],70.61µm
net404,70.56µm
_0746_,70.2µm
clknet_5_5__leaf_periph_clk_i,70.15µm
cfg_rx_bytes_left_i[9],69.86µm
net254,69.59µm
net247,69.54µm
i_ep_err_parity.i_sync_clkb.i_pulp_sync.serial_i,69.44µm
u_dc_fifo_rx.u_din.buffer.data\[12\],69.44µm
s_uart_div\[5\],69.03µm
_0802_,68.98µm
