net,length_um
clknet_5_14__leaf_periph_clk_i,83.03µm
net177,82.93µm
u_dc_fifo_rx.u_dout.read_token\[2\],82.47µm
cfg_rx_size_o[13],82.18µm
net148,81.91µm
u_uart_tx.CS\[1\],81.45µm
_0854_,81.35µm
_0820_,81.3µm
_0826_,81.25µm
u_dc_fifo_tx.u_dout.read_token\[2\],80.89µm
u_uart_tx.baud_cnt\[12\],80.89µm
r_status_sync\[2\],80.64µm
cfg_tx_size_o[13],80.5µm
cfg_rx_startaddr_o[9],80.5µm
clknet_5_22__leaf_periph_clk_i,80.23µm
net346,80.18µm
clknet_5_3__leaf_sys_clk_i,80.18µm
s_uart_div\[2\],80.13µm
net277,80.08µm
u_dc_fifo_tx.u_din.write_token\[1\],79.77µm
u_uart_tx.baud_cnt\[4\],79.72µm
i_ep_err_parity.i_sync_clkb.i_pulp_sync.serial_i,79.62µm
cfg_tx_size_o[0],79.38µm
_0742_,79.11µm
u_uart_tx.baud_cnt\[9\],79.01µm
net279,79.01µm
u_uart_tx.baud_cnt\[2\],78.96µm
cfg_tx_startaddr_o[10],78.82µm
s_uart_bits\[0\],78.55µm
s_data_rx_dc\[3\],78.5µm
net387,78.45µm
net251,78.4µm
cfg_rx_startaddr_o[6],78.36µm
clknet_5_7__leaf_sys_clk_i,78.14µm
net139,77.84µm
net212,77.84µm
cfg_tx_startaddr_o[11],77.7µm
clknet_5_10__leaf_periph_clk_i,77.43µm
_0322_,77.33µm
_0738_,76.36µm
u_dc_fifo_tx.u_din.buffer.data\[18\],76.26µm
_0449_,76.16µm
cfg_tx_size_o[9],76.07µm
cfg_rx_startaddr_o[4],76.07µm
u_dc_fifo_tx.u_din.buffer.data\[21\],75.7µm
net353,75.7µm
clknet_5_27__leaf_periph_clk_i,75.7µm
clknet_5_21__leaf_periph_clk_i,75.65µm
u_dc_fifo_tx.u_din.buffer.data\[23\],75.09µm
net533,74.53µm
cfg_rx_size_o[1],74.34µm
net326,74.12µm
u_uart_tx.reg_bit_count\[0\],74.02µm
u_uart_tx.baud_cnt\[14\],73.97µm
_0006_,73.92µm
cfg_rx_size_o[8],73.83µm
net270,73.66µm
_0652_,73.41µm
cfg_tx_startaddr_o[4],73.22µm
i_ep_event.i_sync_clkb.i_pulp_sync.serial_i,72.85µm
cfg_rx_size_o[0],72.76µm
cfg_rx_startaddr_o[7],72.66µm
cfg_rx_size_o[11],72.66µm
_0758_,72.54µm
clknet_5_16__leaf_sys_clk_i,72.39µm
cfg_tx_startaddr_o[1],72.15µm
cfg_tx_size_o[3],72.15µm
u_fifo.i_fifo.pointer_out\[0\],71.88µm
_0750_,71.78µm
clknet_5_19__leaf_periph_clk_i,71.78µm
_0788_,71.73µm
cfg_tx_startaddr_o[6],71.54µm
cfg_tx_size_o[11],71.54µm
cfg_rx_size_o[3],71.54µm
_0504_,70.71µm
_0418_,70.61µm
u_uart_tx.bit_done,70.61µm
cfg_tx_startaddr_o[3],70.42µm
net152,70.1µm
u_uart_rx.reg_rx_sync\[2\],70.05µm
u_uart_rx.CS\[0\],69.84µm
u_fifo.i_fifo.elements\[0\],69.54µm
u_dc_fifo_tx.u_din.buffer.data\[22\],69.49µm
u_dc_fifo_rx.u_din.write_token\[3\],69.18µm
_0728_,69.08µm
_0512_,68.93µm
i_ep_err_overflow.i_sync_clkb.i_pulp_sync.serial_i,68.93µm
net224,68.93µm
cfg_tx_startaddr_o[5],68.23µm
cfg_rx_size_o[14],68.18µm
_0491_,67.81µm
net319,67.81µm
net362,67.76µm
r_uart_en_tx_sync\[2\],67.4µm
cfg_tx_startaddr_o[9],67.06µm
cfg_tx_startaddr_o[7],67.06µm
net108,66.13µm
net218,66.13µm
cfg_tx_startaddr_o[8],65.94µm
u_dc_fifo_rx.u_din.write_token\[2\],65.72µm
u_uart_tx.baud_cnt\[10\],65.72µm
_0760_,65.06µm
u_dc_fifo_tx.u_din.buffer.data\[20\],65.06µm
clknet_5_13__leaf_periph_clk_i,64.55µm
net156,64.5µm
net276,64.45µm
net463,64.4µm
net371,63.84µm
net315,63.84µm
clknet_5_1__leaf_periph_clk_i,63.43µm
net206,63.38µm
net271,63.38µm
_0752_,63.33µm
net208,63.33µm
cfg_tx_size_o[14],63.14µm
_0349_,62.87µm
net181,62.77µm
net107,62.77µm
_0530_,62.72µm
net150,62.26µm
net410,62.21µm
clknet_5_31__leaf_periph_clk_i,62.21µm
_0858_,62.16µm
cfg_tx_size_o[15],62.02µm
cfg_rx_startaddr_o[3],62.02µm
net229,61.85µm
u_uart_tx.baud_cnt\[0\],61.75µm
r_uart_stop_bits,61.7µm
u_uart_tx.baud_cnt\[13\],61.7µm
net221,61.6µm
cfg_tx_size_o[4],61.46µm
clknet_5_2__leaf_sys_clk_i,61.24µm
_0333_,60.68µm
net532,60.68µm
net470,60.63µm
net184,60.53µm
_0355_,59.97µm
net465,59.97µm
cfg_data_o[30],59.6µm
_0389_,59.46µm
cfg_rx_startaddr_o[1],59.22µm
_0548_,59µm
_0629_,58.9µm
net201,58.9µm
net207,58.85µm
u_dc_fifo_tx.u_din.buffer.data\[17\],58.85µm
u_fifo.i_fifo.elements\[1\],58.85µm
net390,58.85µm
cfg_tx_startaddr_o[0],58.66µm
clknet_5_26__leaf_periph_clk_i,58.39µm
s_uart_div\[5\],58.34µm
clknet_5_18__leaf_periph_clk_i,58.34µm
net354,58.29µm
net403,58.24µm
net365,58.24µm
cfg_tx_size_o[2],58.1µm
net269,57.78µm
u_dc_fifo_tx.u_din.buffer.data\[16\],57.68µm
cfg_rx_size_o[15],57.64µm
clknet_5_5__leaf_periph_clk_i,57.17µm
net414,57.12µm
clknet_5_0__leaf_periph_clk_i,56.71µm
_0345_,56.66µm
clknet_5_25__leaf_periph_clk_i,56.66µm
_0430_,56.61µm
r_status_sync\[3\],56.56µm
net237,56.56µm
cfg_data_o[28],56.24µm
_0733_,56.1µm
clknet_5_15__leaf_periph_clk_i,56.1µm
_0479_,56.05µm
net175,56.05µm
clknet_5_9__leaf_periph_clk_i,56.05µm
net183,56µm
cfg_rx_size_o[2],55.86µm
_0663_,55.54µm
s_uart_div\[8\],54.98µm
_0856_,54.93µm
_0614_,54.42µm
net189,54.42µm
net273,54.42µm
_0328_,54.37µm
net12,54.37µm
s_uart_div\[7\],54.37µm
net140,54.32µm
_0855_,53.91µm
_0763_,53.86µm
net167,53.81µm
net76,53.81µm
u_dc_fifo_tx.u_din.buffer.data\[7\],53.81µm
_0568_,53.76µm
net422,53.3µm
_0566_,53.25µm
_0806_,53.25µm
_0382_,53.2µm
u_uart_rx.CS\[1\],53.2µm
cfg_data_o[31],52.88µm
net263,52.74µm
_0582_,52.64µm
net50,52.64µm
cfg_rx_size_o[4],52.5µm
cfg_data_o[26],52.37µm
clknet_5_23__leaf_periph_clk_i,52.18µm
_0635_,52.08µm
cfg_data_o[5],51.62µm
_0781_,51.57µm
net143,51.57µm
s_uart_div\[14\],51.57µm
_0391_,51.52µm
_0683_,50.96µm
net366,50.96µm
_0365_,50.55µm
_0353_,50.5µm
_0567_,50.5µm
u_uart_tx.baud_cnt\[11\],49.99µm
_0330_,49.89µm
u_reg_if.r_uart_rx_data\[4\],49.89µm
net528,49.89µm
net292,49.84µm
_0720_,49.71µm
cfg_tx_startaddr_o[2],49.7µm
cfg_data_o[29],49.57µm
err_event_o,49.52µm
_0490_,49.43µm
clknet_5_3__leaf_periph_clk_i,49.38µm
clknet_4_4_0_periph_clk_i,49.33µm
_0848_,49.28µm
net407,49.28µm
_0421_,48.82µm
_0706_,48.82µm
_0414_,48.77µm
net144,48.72µm
net100,48.72µm
cfg_data_o[25],48.4µm
cfg_data_o[24],48.4µm
net8,48.31µm
net172,48.31µm
net267,48.31µm
net435,48.26µm
_0441_,48.21µm
net301,48.16µm
net386,48.16µm
cfg_data_o[19],47.84µm
u_dc_fifo_tx.u_din.full.full_synch.d_in\[0\],47.65µm
u_uart_tx.baud_cnt\[6\],47.65µm
net331,47.65µm
net417,47.6µm
_0324_,47.09µm
net540,47.09µm
_0360_,47.04µm
net113,47.04µm
net400,47.04µm
cfg_data_o[4],46.72µm
cfg_data_o[10],46.72µm
data_rx_o[7],46.72µm
_0712_,46.58µm
net216,46.58µm
u_dc_fifo_tx.u_din.buffer.data\[6\],46.58µm
net158,46.53µm
net80,46.53µm
net209,46.53µm
s_uart_div\[15\],46.53µm
_0457_,46.48µm
_0460_,46.48µm
_0656_,46.48µm
net122,46.48µm
cfg_tx_continuous_o,46.34µm
net535,46.02µm
_0336_,45.92µm
net385,45.92µm
net369,45.92µm
cfg_rx_startaddr_o[8],45.78µm
data_rx_o[6],45.65µm
cfg_data_o[1],45.6µm
cfg_data_o[9],45.6µm
cfg_data_o[6],45.6µm
net324,45.56µm
_0332_,45.51µm
net160,45.46µm
s_uart_div\[13\],45.46µm
_0628_,45.41µm
_0673_,45.41µm
net55,45.41µm
net527,45.41µm
cfg_data_o[0],45.09µm
cfg_data_o[21],45.09µm
_0473_,44.85µm
net171,44.85µm
net283,44.85µm
_0455_,44.8µm
net176,44.8µm
net95,44.8µm
cfg_data_o[2],44.48µm
_0677_,44.24µm
net133,44.24µm
data_rx_o[1],43.92µm
cfg_data_o[23],43.92µm
u_fifo.r_inflight\[0\],43.88µm
r_uart_en_rx_sync\[2\],43.83µm
_0670_,43.78µm
net110,43.73µm
u_uart_tx.reg_data\[3\],43.73µm
u_dc_fifo_rx.u_din.full.full_synch.d_out\[0\],43.68µm
data_rx_o[2],43.41µm
_0705_,43.22µm
net445,43.22µm
_0347_,43.17µm
net197,43.17µm
net436,43.12µm
cfg_rx_startaddr_o[2],42.98µm
cfg_rx_clr_o,42.98µm
cfg_data_o[22],42.8µm
net187,42.66µm
net214,42.61µm
net96,42.56µm
cfg_data_o[11],42.29µm
_0611_,42.05µm
_0691_,42.05µm
u_dc_fifo_rx.u_din.buffer.data\[3\],42.05µm
net539,42.05µm
cfg_rx_continuous_o,41.86µm
net173,41.54µm
net73,41.54µm
clknet_4_11_0_periph_clk_i,41.54µm
_0408_,41.49µm
net64,41.49µm
net103,41.49µm
u_reg_if.r_uart_rx_data_valid,41.49µm
clknet_4_9_0_periph_clk_i,41.49µm
_0519_,41.44µm
clknet_4_10_0_sys_clk_i,41.44µm
u_uart_tx.reg_data\[2\],40.98µm
clknet_4_8_0_periph_clk_i,40.88µm
clknet_4_13_0_periph_clk_i,40.88µm
cfg_tx_clr_o,40.74µm
cfg_addr_i[3],40.61µm
cfg_tx_bytes_left_i[6],40.61µm
_0376_,40.37µm
net444,40.37µm
net448,40.37µm
clknet_4_1_0_sys_clk_i,40.32µm
_0731_,39.96µm
clknet_4_7_0_periph_clk_i,39.76µm
net530,39.76µm
net170,39.35µm
clknet_4_0_0_sys_clk_i,39.35µm
u_dc_fifo_tx.u_din.full.full_synch.d_out\[0\],39.3µm
net531,39.2µm
net484,39.06µm
cfg_data_i[30],38.88µm
_0378_,38.69µm
_0727_,38.69µm
net54,38.69µm
u_dc_fifo_tx.u_din.buffer.data\[2\],38.69µm
clknet_4_10_0_periph_clk_i,38.69µm
_0483_,38.64µm
_0649_,38.13µm
u_dc_fifo_rx.u_din.buffer.data\[31\],38.13µm
_0509_,38.08µm
net363,38.08µm
cfg_rx_bytes_left_i[4],37.81µm
_0475_,37.57µm
_0791_,37.57µm
_0822_,37.57µm
_0450_,37.52µm
_0627_,37.52µm
net295,37.52µm
net412,37.52µm
_0737_,37.16µm
_0692_,37.06µm
_0456_,37.01µm
net163,37.01µm
s_uart_div\[0\],37.01µm
net395,37.01µm
u_uart_rx.baud_cnt\[15\],36.96µm
data_rx_o[4],36.69µm
cfg_data_i[28],36.64µm
cfg_tx_curr_addr_i[4],36.64µm
cfg_data_o[7],36.64µm
_0818_,36.5µm
net116,36.45µm
r_uart_en_rx_sync\[1\],36.45µm
net376,36.4µm
cfg_rx_curr_addr_i[4],36.08µm
_0448_,35.94µm
u_uart_rx.busy_o,35.94µm
net180,35.89µm
u_dc_fifo_rx.u_din.buffer.data\[20\],35.89µm
_0517_,35.84µm
net127,35.84µm
cfg_data_o[13],35.52µm
data_rx_o[5],35.52µm
data_rx_o[3],35.52µm
_0830_,35.43µm
_0787_,35.38µm
u_dc_fifo_rx.u_din.buffer.data\[26\],35.38µm
u_reg_if.r_uart_rx_data\[7\],35.38µm
u_uart_rx.reg_bit_count\[1\],35.38µm
net460,35.38µm
net405,35.33µm
clknet_4_13_0_sys_clk_i,35.33µm
_0454_,35.28µm
_0469_,35.28µm
net52,35.28µm
u_dc_fifo_rx.u_din.buffer.data\[14\],35.28µm
net495,35.14µm
cfg_rx_curr_addr_i[6],34.96µm
_0701_,34.87µm
_0526_,34.82µm
u_dc_fifo_tx.u_din.full.latched_full_s,34.82µm
net317,34.82µm
clknet_4_6_0_periph_clk_i,34.82µm
clknet_4_9_0_sys_clk_i,34.77µm
_0342_,34.72µm
net147,34.72µm
net503,34.58µm
s_uart_div\[6\],34.26µm
u_dc_fifo_rx.u_din.buffer.data\[18\],34.26µm
u_fifo.r_inflight\[1\],34.26µm
_0468_,34.21µm
u_dc_fifo_tx.u_din.buffer.data\[3\],34.21µm
net318,34.21µm
net51,34.16µm
net361,34.16µm
net454,34.16µm
cfg_addr_i[0],34.02µm
cfg_data_i[5],34.02µm
cfg_data_i[24],33.84µm
_0819_,33.8µm
_0525_,33.7µm
_0642_,33.7µm
net174,33.7µm
_0833_,33.65µm
net42,33.65µm
u_dc_fifo_tx.u_din.buffer.data\[5\],33.65µm
_0513_,33.6µm
_0600_,33.6µm
net356,33.6µm
clknet_4_14_0_sys_clk_i,33.6µm
cfg_tx_en_i,33.51µm
data_rx_valid_o,33.51µm
cfg_tx_bytes_left_i[1],33.33µm
cfg_rx_bytes_left_i[2],33.28µm
cfg_tx_bytes_left_i[10],33.28µm
cfg_data_o[14],33.28µm
_0725_,33.14µm
u_reg_if.r_uart_rx_data\[6\],33.14µm
u_uart_tx.reg_data\[6\],33.14µm
clknet_4_5_0_sys_clk_i,33.14µm
clknet_4_8_0_sys_clk_i,33.14µm
_0772_,33.09µm
_0824_,33.09µm
u_reg_if.r_uart_rx_data\[0\],33.09µm
net282,33.09µm
_0410_,33.04µm
net22,33.04µm
net27,33.04µm
net402,33.04µm
cfg_rx_curr_addr_i[10],32.77µm
_0704_,32.63µm
u_dc_fifo_rx.u_din.buffer.data\[23\],32.58µm
u_uart_tx.reg_data\[0\],32.58µm
_0578_,32.53µm
net154,32.53µm
_0547_,32.48µm
net39,32.48µm
cfg_rx_curr_addr_i[1],32.26µm
_0857_,32.25µm
uart_rx_i,32.21µm
cfg_rx_bytes_left_i[0],32.16µm
_0149_,32.02µm
_0722_,32.02µm
s_uart_div\[4\],32.02µm
net153,31.97µm
net178,31.97µm
clknet_4_6_0_sys_clk_i,31.97µm
_0312_,31.92µm
net26,31.92µm
net136,31.92µm
u_fifo.i_fifo.buffer\[1\]\[0\],31.92µm
net499,31.78µm
cfg_tx_bytes_left_i[0],31.6µm
cfg_tx_bytes_left_i[2],31.6µm
cfg_tx_curr_addr_i[9],31.6µm
s_uart_div\[12\],31.46µm
net294,31.41µm
_0488_,31.36µm
u_dc_fifo_tx.u_dout.empty_synch.d_out\[2\],31.36µm
u_uart_rx.CS\[2\],31.36µm
cfg_data_i[15],31.27µm
cfg_tx_pending_i,31.22µm
cfg_data_i[21],31.04µm
cfg_rx_bytes_left_i[5],31.04µm
cfg_rx_curr_addr_i[9],31.04µm
